Date;Closing_Price;Opening_Price;Daily_High;Daily_Low
02.05.18;38,76;;;
30.04.18;39,33;;;
27.04.18;38,81;38,85;38,88;38,85
26.04.18;38,75;;;
25.04.18;38,1;;;
24.04.18;38,08;;;
23.04.18;38,06;;;
20.04.18;37,93;38,25;38,25;38
19.04.18;38,7;38,4;38,85;38,4
18.04.18;38,02;;;
17.04.18;37,92;;;
16.04.18;38,81;;;
13.04.18;38,57;;;
12.04.18;38,04;;;
11.04.18;37,9;38;38;38
10.04.18;37,55;37,5;37,5;37,5
09.04.18;37,35;37,34;37,44;37,13
06.04.18;36,62;36,61;36,61;36,61
05.04.18;36,49;;;
04.04.18;36,26;36,8;36,8;36,3
03.04.18;36,53;34,8;34,8;34,8
29.03.18;36,33;;;
28.03.18;36,15;36,6;36,6;36,45
27.03.18;35,95;36;36,35;36
26.03.18;35,53;;;
23.03.18;35,65;;;
22.03.18;35,55;35,75;35,75;35,51
21.03.18;35,66;35,45;35,5;35,4
20.03.18;34,82;34,35;34,95;34,35
19.03.18;34,13;34,5;34,5;34,15
16.03.18;34,65;34,79;34,79;34,5
15.03.18;34,86;34,65;34,8;34,55
14.03.18;34,64;34,78;34,78;34,65
13.03.18;35,17;35;35,25;35
12.03.18;35,39;35,4;35,41;35,31
09.03.18;34,95;34,48;35;34,48
08.03.18;34,68;;;
07.03.18;34,39;34,3;34,4;34,3
06.03.18;34,31;34,25;34,25;34,25
05.03.18;33,9;33,45;33,7;33,45
02.03.18;33,7;;;
01.03.18;33,76;33,85;33,85;33,85
28.02.18;34,1;34,2;34,2;34,05
27.02.18;34,09;33,65;33,65;33,65
26.02.18;34,06;34,25;;
23.02.18;34,94;34,95;34,95;34,8
22.02.18;34,65;34,45;34,53;34,45
21.02.18;34,62;34,6;34,6;34,6
20.02.18;35,09;35,1;35,1;34,9
19.02.18;34,83;34,6;34,85;34,55
16.02.18;34,03;34,15;34,15;33,95
15.02.18;34,05;34,25;34,25;34,15
14.02.18;34,3;34,15;34,15;34
13.02.18;34,03;33,5;33,9;33,5
12.02.18;33;32,65;32,9;32,6
09.02.18;33,05;33;33;32,86
08.02.18;33,31;33,3;33,45;33,25
07.02.18;33,95;33,55;33,9;33,5
06.02.18;33,7;33,8;33,8;33,55
05.02.18;33,89;33,75;34,05;33,65
02.02.18;34,15;34,2;34,2;34,2
01.02.18;34,4;34,46;34,8;34,46
31.01.18;34,46;34,5;34,65;34,35
30.01.18;34,86;35,05;35,05;34,78
29.01.18;35,6;35,85;35,9;35,45
26.01.18;35,71;35,67;35,75;35,67
25.01.18;35,62;35,55;35,7;35,55
24.01.18;35,54;35,6;35,8;35,5
23.01.18;35,63;35,75;35,85;35,55
22.01.18;35,67;35,3;35,7;35,3
19.01.18;35,55;35,37;35,6;35,37
18.01.18;35,27;35,1;35,15;35,1
17.01.18;35,15;35,2;35,2;35,07
16.01.18;35,36;35,35;35,4;35,25
15.01.18;35,34;35,3;35,3;35,2
12.01.18;35,6;35,95;36;35,45
11.01.18;35,8;36;36;35,7
27.12.17;37,72;37,65;37,75;37,65
22.12.17;37,9;37,9;37,95;37,8
21.12.17;37,95;37,9;38;37,8
20.12.17;38,09;37,85;38,1;37,8
19.12.17;37,83;37,9;38;37,65
18.12.17;38,18;37,9;38,21;37,9
15.12.17;38,24;37,85;38,3;37,85
14.12.17;37,67;37,55;37,85;37,45
13.12.17;37,95;37,8;38;37,75
12.12.17;38,07;37,72;38,4;37,7
11.12.17;37,26;37,35;37,6;37,03
08.12.17;37,16;36,95;37,22;36,8
07.12.17;36,84;36,65;37;36,55
06.12.17;36,75;36,72;36,9;36,65
05.12.17;37,06;37,05;37,24;36,95
04.12.17;37,25;37,1;37,45;37,1
01.12.17;36,86;36,78;37,05;36,5
30.11.17;36,7;36,95;36,95;36,45
29.11.17;36,72;36,3;36,8;36,3
28.11.17;36,61;36,55;36,75;36,4
27.11.17;36,93;37;37;36,75
24.11.17;36,79;36,4;36,75;36,4
23.11.17;36,21;35,81;36,35;35,8
22.11.17;35,99;36;36,1;35,75
21.11.17;36,13;36,25;36,25;35,85
20.11.17;36,02;35,75;36,1;35,65
17.11.17;35,85;35,9;35,95;35,73
16.11.17;36,2;36,35;36,35;36,07
